,country,startdate,enddate,duration,etype,escalation,target,npart,ndeath,locnum,issue,issuenote,riot,target cat,crime rate
15,Jamaica,15-Jun-04,15-Jun-04,1,9,0,Brian Williamson - Jamaica's best known gay rights activist,-99,1,-99,5,Williamson hacked to death by attackers with machetes at his home.,1,1.0,102.176604027
16,Jamaica,15-Jun-07,15-Jun-07,1,9,0,Carlton Gooden - JLP supporter,-99,1,1,10,Gooden was shot and killed at his mother's home.,1,1.0,102.176604027
17,Jamaica,1-Sep-07,1-Sep-07,1,9,0,Citizen,-99,0,-99,1,Man shot and injured during period of political violence.,1,1.0,102.176604027
18,Jamaica,19-Aug-02,19-Aug-02,1,6,0,Citizen mob,3,0,4,9,Hundreds of bus drivers went on strike to protest the killing of fellow driver Harold Collins.,0,1.0,102.176604027
19,Jamaica,19-Aug-02,19-Aug-02,1,6,0,Citizen mob,3,0,4,9,Hundreds of bus drivers went on strike to protest the killing of fellow driver Harold Collins.,0,1.0,102.176604027
20,Haiti,11-Mar-90,11-Mar-90,1,7,4,Citizens,-99,8,3,12,"Peasants moved back onto land claiming to have been illegally seized, sharecroppers came and threw the peasants off the land they were trying to claim; later in the day, the local rural sheriff and his deputy came to Piate, and eight people were killed.",1,1.0,10.0
21,Haiti,5-Dec-90,5-Dec-90,1,4,0,Citizens,-99,7,1,1,Seven people were killed and at least 50 wounded by unknown assailants following a campaign rally; the Movement to Organize the Country party headquarters also was broken into by three men and the offices ransacked. ,1,1.0,10.0
22,Dominican-Republic,9-Dec-95,9-Dec-95,1,4,0,Citizens,-99,0,1,3,Residents burned tires & threw rocks at vehicles during power outages.,1,1.0,80.3818341696
23,Dominican-Republic,1-Jul-96,1-Jul-96,1,9,0,Citizens,-99,3,3,1,Three people stabbed to death hours after Leonel Fernanadez declared winner of presidential race.,1,1.0,80.3818341696
24,Dominican-Republic,29-Sep-08,29-Sep-08,1,9,0,Citizens,-99,0,1,3,Aid delivery following hurricane caused fighting among starving residents for aid.,1,1.0,80.3818341696
25,Dominican-Republic,16-May-02,16-May-02,1,9,0,Citizens,-99,1,5,1,2 people were killed in election-related violence.,1,1.0,80.3818341696
26,Dominican-Republic,16-May-02,16-May-02,1,9,0,Citizens,-99,1,5,1,2 people were killed in election-related violence.,1,1.0,80.3818341696
27,Dominican-Republic,16-May-06,16-May-06,1,8,0,Citizens,-99,0,-99,1,"Violence, including several shootings, took place at several polling stations on election day.",1,1.0,80.3818341696
28,Jamaica,18-Dec-97,18-Dec-97,1,9,0,Citizens,-99,0,1,1,"Five election-related shooting incidents occurred in Kingston, including two women standing on street corner who were wounded.",1,1.0,102.176604027
29,Jamaica,18-Dec-97,18-Dec-97,1,9,0,Citizens,-99,0,1,1,Rival gangs of youths lobbed stones at each other.,1,1.0,102.176604027
30,Jamaica,7-Oct-01,7-Oct-01,1,9,0,Citizens,-99,2,1,1,Gunmen in a car killed two men in area loyal to People's National Party.,1,1.0,102.176604027
31,Jamaica,8-Oct-01,8-Oct-01,1,8,0,Citizens,-99,0,1,1,Gunmen shot two people in a drive-by before shooting at police station in neighborhoods loyal to Labour Party in retalation for previous night's shooting.,1,1.0,102.176604027
32,Jamaica,8-Nov-01,9-Nov-01,2,7,4,Citizens,-99,1,3,10,"Man was killed by police, sparking riots in which citizens blocked roads, torched a truck, and threw stones at police.",1,1.0,102.176604027
33,Jamaica,4-Oct-02,4-Oct-02,1,4,0,Citizens,-99,0,3,10,"In retaliation for attack on Seaga, Labour party members burned down building and attacked residents of Bath, stronghold of ruling party.",1,1.0,102.176604027
34,Jamaica,9-Oct-02,9-Oct-02,1,4,2,Citizens,-99,1,1,9,"Clashes left at least one dead, sparking protests by residents angry with recent shootings.",1,1.0,102.176604027
35,Jamaica,31-Aug-07,31-Aug-07,1,9,0,Citizens,-99,4,3,10,Four people fatally shot during election violence.,1,1.0,102.176604027
36,Jamaica,3-Sep-07,3-Sep-07,1,9,0,Citizens,-99,0,6,1,Woman's house burnt down while voting after she was warned not to vote.,1,1.0,102.176604027
37,Jamaica,3-Sep-07,3-Sep-07,1,9,0,Citizens,-99,0,-99,1,"7 assailants beat one man, while another cut around his abdomen during election day violence.",1,1.0,102.176604027
38,Jamaica,8-Dec-08,10-Dec-08,3,9,0,Citizens,3,0,2,9,Gangs forced more than 200 people from homes in effort to takeover communities in gang dispute.,1,1.0,102.176604027
39,Haiti,23-Mar-90,23-Mar-90,1,2,0,Citizens and soldiers committing violence,-99,0,1,9,Youths erected barricades at a main intersection to protest the killings of March 23.,0,1.0,10.0
40,Mexico,4-Oct-99,4-Oct-99,1,9,0,Civilians,1,0,2,1,Two people are wounded in election related violence.,1,1.0,359.577167974
41,Mexico,9-Jul-15,9-Jul-15,1,9,0,Civilians,-99,5,2,12,Suspected gang members killed a family of five for no reported reason. ,1,1.0,359.577167974
42,Guatemala,27-Jan-94,27-Jan-94,1,9,0,Civilians,-99,0,1,1,"Gunmen open fire, and also destroy six electrical towers on the eve of a referendum on a new constitution.",1,1.0,40.1652129192
43,Guatemala,27-Jun-01,27-Jun-01,1,9,0,Civilians,-99,9,6,12,Gunmen open fire on vehicles on a remote road as part of an ongoing land dispute.,1,1.0,40.1652129192
44,Guatemala,2-Aug-03,2-Aug-03,1,9,0,Civilians,-99,3,3,12,"Gunmen attack a restaurant, killing two Guatemalans and an Italian exchange student.  A businessman suspected in smuggling is assassinated.",1,1.0,40.1652129192
45,Honduras,18-Dec-03,18-Dec-03,1,9,0,Civilians,1,1,3,12,Gunmen murder a friar and steal Christmas bonuses from a home for the elderly.,1,1.0,153.382232741
46,Honduras,4-Jun-05,4-Jun-05,1,9,0,Civilians,-99,1,2,12,"Criminal gangs attack and rob a bus, killing a Canadian tourist.",1,1.0,153.382232741
47,Honduras,3-Aug-08,3-Aug-08,1,9,0,Civilians,3,11,-99,12,An armed mob attacks a home as part of a long running land dispute.,1,1.0,153.382232741
48,Honduras,7-Sep-10,7-Sep-10,1,9,0,Civilians,1,18,2,12,Men armed with assault rifles burst into a shoe factory and open fire.  The massacre is blamed on gang rivalry over territory and drug trading.,1,1.0,153.382232741
49,Honduras,6-Jan-11,6-Jan-11,1,9,0,Civilians,-99,8,3,12,Gunmen attack a bus in a failed robbery.,1,1.0,153.382232741
50,El-Salvador,28-Dec-93,28-Dec-93,1,9,0,Civilians,-99,10,3,12,"A gang attacks a civilian home, killing 10 people and robbing the home of 250 dollars.",1,1.0,54.8044668202
51,Nicaragua,7-Nov-93,7-Nov-93,1,9,0,Civilians,-99,4,3,1,"Recontras attack a voter registration center, killing 4 and taking 5 hostages.",1,1.0,400.3472736
52,Nicaragua,30-Jun-98,30-Jun-98,1,9,0,Civilians,-99,5,3,12,Armed men rob a bus.,1,1.0,400.3472736
53,Nicaragua,23-Dec-04,23-Dec-04,1,9,0,Civilians,1,6,3,12,Armed men open ambush a truck loaded with paving stone and then rob it; they succeed only stealing $4.90.,1,1.0,400.3472736
54,Cuba,10-Dec-98,10-Dec-98,1,2,4,Communist party activists,-99,0,1,10,Man shouting human rights slogans was attacked by Communist party activists.,1,1.0,4.48342245989
55,Nicaragua,17-Nov-08,19-Nov-08,3,2,4,Constitutionalist Liberal Party supporters,4,0,1,1,Supporters of rival parties clash after municipal elections.,1,1.0,400.3472736
56,Dominican-Republic,29-Jun-96,29-Jun-96,1,9,0,Dominican Revolutionary Party activist,-99,1,2,1,Revolutionary party activist shot and killed in confrontation with Liberation party followers.,1,1.0,80.3818341696
57,Dominican-Republic,16-May-10,16-May-10,1,9,0,Dominican Revolutionary party supporters,-99,5,7,1,"Militant from DRP was killed in partisan violence, 2 others killed in other incidents.",1,1.0,80.3818341696
58,Dominican-Republic,16-May-10,16-May-10,1,9,0,Dominican Revolutionary party supporters,-99,5,7,1,"Militant from DRP was killed in partisan violence, 2 others killed in other incidents.",1,1.0,80.3818341696
59,Haiti,11-Jul-90,11-Jul-90,1,5,0,Duvalier supporters,5,0,4,10,A protest strike over the return from exile of two former officials linked to human rights abuses under dictatorial regimes was held. ,0,1.0,10.0
60,Haiti,11-Jul-90,11-Jul-90,1,5,0,Duvalier supporters,5,0,4,10,A protest strike over the return from exile of two former officials linked to human rights abuses under dictatorial regimes was held. ,0,1.0,10.0
61,Haiti,11-Jul-90,11-Jul-90,1,5,0,Duvalier supporters,5,0,4,10,A protest strike over the return from exile of two former officials linked to human rights abuses under dictatorial regimes was held. ,0,1.0,10.0
62,Mexico,30-Apr-99,1-May-99,2,2,0,Environmental activists,4,0,2,4,"Thousands of plant employees and subcontractors march to defend a plant accused of dumping lead. The next day, dozens of activists and toddlers march to denounce lead poisoning.",0,1.0,359.577167974
63,El-Salvador,19-Jan-03,19-Jan-03,1,9,0,FMLN activist,-99,1,-99,1,Unknown assailants murder a political activist in advance of elections.,1,1.0,54.8044668202
64,El-Salvador,14-Feb-03,14-Feb-03,1,9,0,FMLN activist,-99,1,3,1,A political activist is murdered in the latest of a string of political slayings in advance of elections.,1,1.0,54.8044668202
65,El-Salvador,18-Feb-03,18-Feb-03,1,9,0,FMLN activist,-99,1,3,1,A political activist is murdered in the latest of a string of political slayings in advance of elections.,1,1.0,54.8044668202
66,Honduras,9-Dec-09,9-Dec-09,1,9,0,Gay-rights activist,-99,1,1,10,Gunmen assassinate a gay activist who participated in the anti-coup protests.,1,1.0,153.382232741
67,Mexico,20-Oct-01,20-Oct-01,1,9,0,Human rights activist,-99,1,1,10,"A prominent human rights lawyer is found dead, and a note left on her body warns that the same could happen to others.",1,1.0,359.577167974
68,Haiti,22-Nov-10,22-Nov-10,1,4,0,INITE ruling party candidate Jude Celestin supporters,-99,2,3,1,"Armed supporters of Charles Henri Baker attacked the motorcade of INITE ruling party candidate Jude Celestin during a campaign stop and clashed with some of his armed supporters, killing two.",1,1.0,10.0
69,Nicaragua,9-Nov-11,9-Nov-11,1,4,0,Independent Liberal Party supporters,-99,4,5,1,Supporters and opponents of Daniel Ortega clash after his reelection.,1,1.0,400.3472736
70,Nicaragua,9-Nov-11,9-Nov-11,1,4,0,Independent Liberal Party supporters,-99,4,5,1,Supporters and opponents of Daniel Ortega clash after his reelection.,1,1.0,400.3472736
71,Mexico,9-Dec-06,9-Dec-06,1,9,0,Indian activist,-99,1,3,5,Assailants shoot dead an Indian activist.,1,1.0,359.577167974
72,Guatemala,18-Jul-00,18-Jul-00,1,9,0,Indian activists,1,2,3,5,Masked gunmen wielding assault rifles shoot and kill an Indian activist and his secretary.,1,1.0,40.1652129192
73,Mexico,2-Jul-10,2-Jul-10,1,9,0,Indigenous activist,-99,1,6,5,Gunmen assassinate an indigenous leader of the Trique ethnic group ahead of a visit to the area by EU lawmakers on an aid convoy.,1,1.0,359.577167974
74,Mexico,18-Apr-12,18-Apr-12,1,9,0,Indigenous activists,1,8,2,12,Two men open fire on an indigenous group that attacked illegal loggers a year prior.  The activists were on their way to investigate reports of illegal logging when they were attacked.,1,1.0,359.577167974
75,Jamaica,27-Dec-11,27-Dec-11,1,8,0,Jamaica Labour Party supporters,-99,1,3,1,"Gunmen opened fire at JLP event, one killed.",1,1.0,102.176604027
76,Jamaica,18-Dec-97,18-Dec-97,1,4,0,Labor Party supporters,-99,1,1,1,"A Labor Party poll watcher was killed in a voting station clash. Residents set up flaming roadblocks, 3 killed during violence.",1,1.0,102.176604027
77,Dominican-Republic,12-May-02,12-May-02,1,9,0,Liberation Party supporters,-99,1,3,1,One man was killed during a political rally as rival party supporters clashed.,1,1.0,80.3818341696
78,Haiti,29-Aug-01,29-Aug-01,1,4,0,Opposition supporters,2,0,1,10,Aristide supporters attacked opposition protesters; each side threw rocks at each other and one person was injured and five people were detained.,1,1.0,10.0
79,Haiti,15-Nov-01,15-Nov-01,1,2,4,Opposition supporters,2,0,2,10,"A small group of pro-government demonstrators and politicians was chased away from the streets by rock and bottle-throwing opposition supporters, injuring seven people.",1,1.0,10.0
80,Nicaragua,10-Nov-09,10-Nov-09,1,2,4,Opposition supporters,2,0,1,1,Rock-throwing supporters of Nicaragua's governing Sandinista party attack a small protest march by the opposition.,1,1.0,400.3472736
81,Nicaragua,22-Nov-09,22-Nov-09,1,2,4,Opposition supporters,5,0,1,1,Thousands of Sandinista and opposition supporters stage demonstrations against each other in the lead up to an election.,1,1.0,400.3472736
82,Haiti,11-Feb-04,11-Feb-04,1,4,0,Other citizens,-99,0,2,3,"A scuffle broke out at a gas station over the last dregs of gasoline, and someone set off a tear gas canister that was stolen from police.",1,1.0,10.0
83,Mexico,19-Oct-97,19-Oct-97,1,4,0,PRD supporters,-99,0,6,1,"Supporters of the PRD and PRI clash, firing shots in the air and throwing tear gas and firebombs over a municipal election.",1,1.0,359.577167974
84,Mexico,14-Oct-06,14-Oct-06,1,4,0,PRD supporters,-99,0,3,1,"Supporters of rival parties clash, leading to 10 arrests.",1,1.0,359.577167974
85,Mexico,30-Dec-92,31-Dec-92,2,2,4,PRI supporters,-99,0,6,1,"Opposition activists charging election fraud clash with supporters of the PRI.  Event begins as sit-ins at 33 town halls, but then escalates to rioting.",1,1.0,359.577167974
86,Mexico,10-Apr-95,10-Apr-95,1,9,0,PRI supporters,-99,4,-99,10,A clash occurs between rebels and villagers who support the PRI.,1,1.0,359.577167974
87,Mexico,15-Jun-96,22-Jun-96,8,9,0,PRI supporters,-99,14,5,5,"A string of political murders occurs, aimed at ethnic Maya supporters of the PRI.",1,1.0,359.577167974
88,Mexico,15-Jun-96,22-Jun-96,8,9,0,PRI supporters,-99,14,5,5,"A string of political murders occurs, aimed at ethnic Maya supporters of the PRI.",1,1.0,359.577167974
89,Mexico,15-Jun-96,22-Jun-96,8,9,0,PRI supporters,-99,14,5,5,"A string of political murders occurs, aimed at ethnic Maya supporters of the PRI.",1,1.0,359.577167974
90,Mexico,21-Sep-97,21-Sep-97,1,4,0,PRI supporters,-99,2,6,12,PRI supporters and Zapatistas clash over land disputes and ethnic issues.,1,1.0,359.577167974
91,Mexico,2-Oct-97,2-Oct-97,1,4,0,PRI supporters,-99,4,3,5,A clash occurs between Zapatista and PRI supporters.  Authorities say it is an act of vengeance for a clash in May in the same village.,1,1.0,359.577167974
92,Mexico,31-Jul-98,31-Jul-98,1,9,0,PRI supporters,-99,0,3,1,Members of a leftist opposition party ambush ruling party supporters two days before gubernatorial elections.,1,1.0,359.577167974
93,Mexico,30-Jun-02,30-Jun-02,1,9,0,PRI supporters,-99,5,3,10,Gunmen shoot and kill 5 people returning home from a political rally.,1,1.0,359.577167974
94,Mexico,19-Aug-02,19-Aug-02,1,4,0,PRI supporters,-99,0,2,12,Zapatistas and PRI supporters clash over land ownership.,1,1.0,359.577167974
95,Mexico,27-Jul-04,27-Jul-04,1,4,0,PRI supporters,-99,2,3,1,PRD and PRI supporters clash over a state election.  This is the first reported deadly incident of election violence in many years.,1,1.0,359.577167974
96,Honduras,7-Sep-11,7-Sep-11,1,9,0,Political activist,-99,1,1,10,A well known pro-Zelaya activist is assassinated.,1,1.0,153.382232741
97,Guatemala,1-Oct-90,1-Oct-90,1,9,0,Political activists,-99,1,-99,1,Two political activists are assassinated during the election campaign.,1,1.0,40.1652129192
98,Guatemala,3-Nov-99,3-Nov-99,1,9,0,Political activists,-99,2,1,1,Gunmen shoot and kill two supporters of the leading candidate in the country's presidential election.,1,1.0,40.1652129192
99,Guatemala,15-Jun-04,15-Jun-04,1,3,0,Pro-Escobar supporters,3,1,3,1,A mob contests the re-election of mayor Pablo Escobar and clashes with his supporters.,1,1.0,40.1652129192
100,Haiti,26-Sep-94,26-Sep-94,1,4,0,Pro-military citizens,-99,-88,3,10,Several military regime supporters were killed in retaliation for an earlier crackdown on pro-Aristide demonstrators.,1,1.0,10.0
101,Guatemala,26-May-07,26-May-07,1,9,0,Rightist activist,-99,1,3,1,An activist with the Guatemalan Republican Front is gunned down in advance of elections.,1,1.0,40.1652129192
102,Haiti,21-Jun-09,21-Jun-09,1,4,0,Rival candidate supporters,-99,1,3,1,Two groups of political supporters clashed and one person was killed.,1,1.0,10.0
103,Dominican-Republic,16-May-06,16-May-06,1,9,0,Rival party supporters,-99,-88,-99,1,Violence between party supporters led to several deaths.,1,1.0,80.3818341696
104,Jamaica,19-Jun-03,19-Jun-03,1,9,0,Rival party supporters,-99,0,1,10,"Rival supporters clashed outside of ballot counting center, wielding knives and throwing stones.",1,1.0,102.176604027
105,Haiti,12-Nov-95,12-Nov-95,1,4,0,Suspected coup supporter,-99,-88,1,10,Demonstrators set fire to a Port-au-Prince hotel owned by someone accused of supporting the 1991 military coup.,1,1.0,10.0
106,Nicaragua,26-Feb-90,26-Feb-90,1,4,0,UNO supporters,2,0,4,1,Scattered riots erupt the day after an election.,1,1.0,400.3472736
107,Nicaragua,26-Feb-90,26-Feb-90,1,4,0,UNO supporters,2,0,4,1,Scattered riots erupt the day after an election.,1,1.0,400.3472736
108,Mexico,15-Oct-97,15-Oct-97,1,4,0,Zapatista supporters,-99,2,3,5,Government and rebel supporters clash.,1,1.0,359.577167974
109,Honduras,11-Aug-01,11-Aug-01,1,9,0,American expatriot,1,0,2,12,An American living in Honduras is kidnapped; a ransom demand is made.,1,1.0,153.382232741
110,Guatemala,10-Aug-08,10-Aug-08,1,9,0,American tourist,-99,1,3,12,Robbers armed with machetes hack to death a US tourist on board a sailboat.,1,1.0,40.1652129192
111,Guatemala,19-Jul-04,19-Jul-04,1,9,0,American volunteers,-99,0,3,12,Gunmen attack and rob a group of American volunteers.,1,1.0,40.1652129192
112,Haiti,12-May-00,12-May-00,1,9,0,Campaign organizer Branor Sanon,1,1,1,1,"Branor Sanon, a campaign organizer, was killed by three unidentified armed individuals as he was waiting for a taxi.",1,1.0,10.0
113,Guatemala,17-Aug-07,17-Aug-07,1,9,0,Campaign worker,-99,1,1,1,A campaign worker for a vice presidential candidate is shot to death on a busy street.,1,1.0,40.1652129192
114,Haiti,27-Jul-00,27-Jul-00,1,9,0,Canadian Ambassador Gilles Bernier,-99,0,1,8,"A grenade was thrown into Canada's ambassador to Haiti's home, damaging his car.",1,1.0,10.0
115,Dominican-Republic,5-May-09,5-May-09,1,9,0,Carlos Nerilus - Haitian migrant,-99,1,1,5,"A Haitian migrant was decapitated, after allegedly killing a local merchant.",1,1.0,80.3818341696
116,Haiti,14-Oct-04,14-Oct-04,1,4,0,Cars,-99,0,1,10,"Men ran through the streets, firing gunshots into the air and burning cars along the road.",1,1.0,10.0
117,Haiti,22-Sep-94,22-Sep-94,1,2,0,Cedras,4,0,1,10,Pro-Aristide demonstrators protested against Cedras. ,0,1.0,10.0
118,Haiti,24-Sep-94,24-Sep-94,1,2,0,Cedras,3,0,1,10,Demonsrators protesting against Cedras were tear-gassed by police and the police then dragged at least two demonstrators inside a building.,0,1.0,10.0
119,Haiti,10-Oct-94,10-Oct-94,1,2,4,Cedras,4,0,1,10,"A protest was held against Cedras, and a shot was fired by a U.S. troop after a Haitian smashed a bottle on the windshield of the general's departing car.",1,1.0,10.0
120,Honduras,21-Dec-03,21-Dec-03,1,4,0,Christmas shoppers,4,1,1,12,"Crowds at a Christmas toy giveaway in the National Stadium surge out of control, leading to a riot.",1,1.0,153.382232741
121,Mexico,16-Jan-01,16-Jan-01,1,4,0,Election authorities,3,0,2,1,Hundreds of PRI supporters hurl bottles and sticks to prevent court appointed election authorities from reaching their offices.,1,1.0,359.577167974
122,Haiti,28-Apr-95,28-Apr-95,1,4,0,Election bureau,-99,0,1,1,"A gang of men attacked a bureau and took off with registration materials, including voters cards.",1,1.0,10.0
123,Haiti,23-Jun-95,23-Jun-95,1,4,0,Election bureau,1,0,-99,1,An arsonist set ablaze a provincial election bureau and destroyed voting materials.,1,1.0,10.0
124,Jamaica,14-Oct-02,14-Oct-02,1,8,0,Election day workers,-99,2,1,10,Two election day workers killed in Kingston.,1,1.0,102.176604027
125,Haiti,28-Nov-10,28-Nov-10,1,4,0,Election monitor,-99,0,3,1,Clashes erupted at a voting station where an election monitor from the ruling party was briefly taken hostage.,1,1.0,10.0
126,Nicaragua,1-Jun-96,1-Jun-96,1,9,0,Election monitor,-99,0,3,1,An American election monitor is kidnapped by a group demanding that voting centers be set up in remote parts of the north.,1,1.0,400.3472736
127,Haiti,22-Jan-00,23-Jan-00,2,4,0,Election offices,-99,0,5,1,Election offices were sacked and election materials burned and hundreds of blank voter identification cards were looted.,1,1.0,10.0
128,Haiti,22-Jan-00,22-Jan-00,1,4,0,Election offices,-99,0,5,1,Election offices were sacked and election materials burned and hundreds of blank voter identification cards were looted.,1,1.0,10.0
129,Haiti,22-Jan-00,22-Jan-00,1,4,0,Election offices,-99,0,5,1,Election offices were sacked and election materials burned and hundreds of blank voter identification cards were looted.,1,1.0,10.0
130,Haiti,18-May-00,18-May-00,1,1,0,Election offices,-99,0,3,1,"Opposition candidates blocked access to election offices, claiming that only Lavalas Family partisans have been assigned to run voting stations.",0,1.0,10.0
131,El-Salvador,12-Mar-14,14-Mar-14,3,2,0,Election officials,1,-99,1,1,protesters marched on the hotel where election officials were counting votes to promote legal counting practices. ,0,1.0,54.8044668202
132,Nicaragua,20-Jun-96,20-Jun-96,1,8,0,Election workers,-99,0,3,1,"Recontras kidnap 33 election workers, triggering a political crisis.",1,1.0,400.3472736
133,Haiti,17-May-00,17-May-00,1,9,0,Haiti's Provisional Election Council headquarters,-99,0,1,1,"Unidentified assailants threw a grenade at Haiti's Provisional Election Council headquarters, causing minor damage and injuring seven passers-by.",1,1.0,10.0
134,Mexico,23-Oct-10,23-Oct-10,1,2,0,Assassins,-99,0,2,5,Triqui Indians blockade three crossroads to demand that the killers of their polical group be brought to justice.,0,1.0,359.577167974
135,Cuba,9-Jan-92,9-Jan-92,1,8,0,3 Interior Ministry agents,2,3,3,10,7 citizens killed 3 agents while attempting to flee the island.,1,2.0,4.48342245989
136,Haiti,22-Sep-04,1-Oct-04,10,4,0,Aid vehicles,3,0,2,3,Aid truck was attacked by people who squeezed inside and threw packets of water into the crowd; 500 people crowded a food distribution site and people tried to push through an iron gate and UN troops fired grenades.,1,2.0,10.0
137,Haiti,3-Mar-04,3-Mar-04,1,4,0,Alleged Aristide militant,-99,1,3,10,"Residents stoned an alleged pro-Aristide militant, doused him with gasoline and burned him alive.",1,2.0,10.0
138,Haiti,23-Sep-94,23-Sep-94,1,4,0,Anti-Aristide legislator,-99,0,6,10,Anti-Aristide legislator Pierre Francois Vital was chased by a crowd into a police station.,1,2.0,10.0
139,Haiti,22-Sep-93,22-Sep-93,1,2,0,Aristide,3,0,1,10,A demonstration against Aristide was held.,0,2.0,10.0
140,Haiti,16-Oct-93,16-Oct-93,1,1,0,Aristide,3,0,1,8,A protest was held against Aristide and the United Nations.,0,2.0,10.0
141,Haiti,29-Oct-93,29-Oct-93,1,5,9,Aristide,-99,0,7,8,Pro-Duvalier political parties called a general strike to protest Aristide's return and demanding the resignation of Prime Minister Malval and to press the government to seize foreign-owned gas depots.,1,2.0,10.0
142,Haiti,31-Oct-93,31-Oct-93,1,2,0,Aristide,3,0,1,10,About 200 rightists marched to demand the replacement of Aristide.,0,2.0,10.0
143,Haiti,31-Oct-93,31-Oct-93,1,1,0,Aristide,-99,0,1,10,"A coalition of 20 small right-wing political movements demanded the resignation of Aristide, army commander Lt. Gen. Raoul Cedras and U.N. envoy Dante Caputo.",0,2.0,10.0
144,Haiti,4-Nov-93,4-Nov-93,1,5,0,Aristide,-99,0,1,8,A general strike called by the Front for the Advancement and  Progress of Haiti to protest a U.N.-imposed international embargo against the country and to press its demands to have the presidency declared vacant and a new head of state chosen.,0,2.0,10.0
145,Haiti,24-Jun-99,24-Jun-99,1,4,0,Aristide,2,0,1,2,"Gunmen occupied an orphanage run by former President Aristide, demanding jobs and accusing Aristide of making money off their misfortune; about 40 protesters supporting the gunmen also entered the orphanage.",1,2.0,10.0
146,Haiti,29-Nov-01,29-Nov-01,1,2,9,Aristide,-99,1,2,10,"An opposition protest was fired on by Aristide supporters, killing one person and injuring wounding another.",1,2.0,10.0
147,Haiti,7-Mar-04,7-Mar-04,1,2,9,Aristide,5,6,1,10,"Opposition supporters demonstrated, demanding that Aristide and his followers be put on trial; towards the end of the protest, Aristide supporters began firing on the protesters, killing at least 6 people.",1,2.0,10.0
148,Haiti,21-Oct-93,21-Oct-93,1,1,0,Aristide and Malval,3,0,-99,10,Protesters demanded the resignations of Aristide and Malval if the U.N. plan is not implemented by Oct. 30.,0,2.0,10.0
149,Haiti,1-Jul-00,1-Jul-00,1,9,0,Aristide candidate Pierre Maccene Dorval followers,-99,0,3,1,Gracou partisans set ablaze three houses belonging to Dorval followers.,1,2.0,10.0
150,Haiti,19-Mar-01,19-Mar-01,1,3,0,Aristide opponent Gerard Gourgue,-99,0,1,10,Pro-Aristide groups rioted against an Aristide opponent.,1,2.0,10.0
151,Haiti,21-Mar-01,21-Mar-01,1,2,0,Aristide opponent Gerard Gourgue,-99,0,3,10,Armed Aristide supporters marched to demand the arrest of leading opposition figure Gerard Gourgue.,0,2.0,10.0
